
================================================================
  HSLM Training — Hybrid Symbolic Language Model
  ~1.95M ternary parameters, ~390KB
  Autograd + STE quantization + AdamW
================================================================
[1/4] Initializing model...
       Params: 1952262, Memory: 1872KB
[2/4] Loading training data...
       File: data/tinystories/real_tinystories.txt
       Loaded 100000 stories, 5462458 tokens
[3/4] Initializing trainer...
       LR: 0.000300 → 0.0000010 (cosine), Steps: 100000, Batch: 128×1=128, Ctx: 27, Warmup: 2000, Opt: LAMB
       Label smoothing: 0.10
       WD: 0.100 (cosine, disable at 50%)
       Consciousness: adaptive threshold 0.15 -> phi^-1 (warmup 10K steps)
       Full STE backprop: 1952991 trainable params (100%%)
       [RESUME] Loaded checkpoint + optimizer state: data/checkpoints_v13_lamb128/hslm_step_60000.bin (step 60000)
       Parallel: 6 workers (SIMD + threading)
[4/4] Training...

Step     | Loss     | AvgL10   | PPL      | LR       | C-Ratio  | Tok/s
---------|----------|----------|----------|----------|----------|--------
   60100 |   5.9355 |   6.0022 |   378.21 | 0.000126 |   0.0000 |  12850
   60200 |   5.8230 |   6.0098 |   337.97 | 0.000126 |   0.0000 |  12767
   60300 |   5.9361 |   5.9752 |   378.47 | 0.000125 |   0.0000 |  12484
   60400 |   6.0536 |   5.9582 |   425.66 | 0.000125 |   0.0000 |  12310
   60500 |   6.0306 |   6.0001 |   415.96 | 0.000125 |   0.0000 |  12611
   60600 |   6.0125 |   5.9429 |   408.50 | 0.000124 |   0.0000 |  12945
   60700 |   6.0315 |   6.0144 |   416.32 | 0.000124 |   0.0000 |  13156
   60800 |   5.9197 |   5.9429 |   372.30 | 0.000123 |   0.0000 |  13327
   60900 |   6.0422 |   6.0097 |   420.83 | 0.000123 |   0.0000 |  13310
   61000 |   5.9865 |   6.0221 |   398.02 | 0.000122 |   0.0000 |  13249
   61100 |   6.0212 |   6.0059 |   412.07 | 0.000122 |   0.0000 |  13084
   61200 |   5.9526 |   5.9384 |   384.76 | 0.000122 |   0.0000 |  12942
   61300 |   5.9363 |   5.9656 |   378.55 | 0.000121 |   0.0000 |  12974
   61400 |   5.7885 |   5.9415 |   326.53 | 0.000121 |   0.0000 |  13063
   61500 |   6.1534 |   5.9582 |   470.32 | 0.000120 |   0.0000 |  13151
   61600 |   5.8435 |   5.9534 |   344.98 | 0.000120 |   0.0000 |  13228
   61700 |   5.9966 |   5.9403 |   402.04 | 0.000120 |   0.0000 |  13248
   61800 |   5.8143 |   5.9122 |   335.06 | 0.000119 |   0.0000 |  13148
   61900 |   5.9065 |   5.9038 |   367.42 | 0.000119 |   0.0000 |  12952
   62000 |   5.9411 |   5.9073 |   380.34 | 0.000118 |   0.0000 |  12846
   62100 |   6.0233 |   5.8978 |   412.93 | 0.000118 |   0.0000 |  12811
   62200 |   5.7861 |   5.8818 |   325.73 | 0.000118 |   0.0000 |  12852
   62300 |   5.8053 |   5.8202 |   332.05 | 0.000117 |   0.0000 |  12904
   62400 |   5.9120 |   5.8710 |   369.46 | 0.000117 |   0.0000 |  12922
   62500 |   5.7015 |   5.8451 |   299.31 | 0.000116 |   0.0000 |  12957
   62600 |   5.8139 |   5.8498 |   334.91 | 0.000116 |   0.0000 |  13009
   62700 |   5.7443 |   5.8225 |   312.41 | 0.000116 |   0.0000 |  13018
   62800 |   5.9673 |   5.8501 |   390.45 | 0.000115 |   0.0000 |  13011
   62900 |   5.9340 |   5.8439 |   377.65 | 0.000115 |   0.0000 |  13052
   63000 |   5.7957 |   5.8972 |   328.87 | 0.000114 |   0.0000 |  13103
   63100 |   5.7990 |   5.9034 |   329.96 | 0.000114 |   0.0000 |  13148
   63200 |   5.8672 |   5.8733 |   353.26 | 0.000114 |   0.0000 |  13167
   63300 |   5.6867 |   5.8082 |   294.93 | 0.000113 |   0.0000 |  13212
