u_lo,u_hi,observed,montgomery_gue,r_phi_paper
0.0000,0.1000,79,81.9775,7658.7522
0.1000,0.2000,534,718.6550,7809.0514
0.2000,0.3000,1496,1894.3251,8086.5895
0.3000,0.4000,2935,3433.6570,8449.9765
0.4000,0.5000,4540,5118.9829,8847.8279
0.5000,0.6000,6425,6732.5768,9228.7458
0.6000,0.7000,8054,8096.2232,9550.6590
0.7000,0.8000,9359,9099.4623,9787.4916
0.8000,0.9000,10209,9711.0627,9931.8709
0.9000,1.0000,10285,9972.6304,9993.6187
1.0000,1.1000,10167,9977.6143,9994.7952
1.1000,1.2000,9759,9842.1970,9962.8275
1.2000,1.3000,9400,9675.8732,9923.5638
1.3000,1.4000,9220,9558.7383,9895.9120
1.4000,1.5000,9547,9529.9845,9889.1242
1.5000,1.6000,9651,9588.6884,9902.9823
1.6000,1.7000,9985,9704.6444,9930.3558
1.7000,1.8000,10110,9834.6804,9961.0531
1.8000,1.9000,10114,9939.0869,9985.7001
1.9000,2.0000,10165,9993.5836,9998.5651
2.0000,2.1000,9795,9994.2043,9998.7116
2.1000,2.2000,9742,9954.9270,9989.4395
2.2000,2.3000,9618,9900.0331,9976.4808
2.3000,2.4000,9917,9854.4476,9965.7195
2.4000,2.5000,9918,9835.4352,9961.2313
2.5000,2.6000,9749,9848.0972,9964.2204
2.6000,2.7000,9993,9885.5598,9973.0641
2.7000,2.8000,10309,9933.1145,9984.2902
2.8000,2.9000,9932,9974.3940,9994.0350
2.9000,3.0000,9803,9997.2552,9999.4318
